Order	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Basidiomycota;Agaricomycetes;Polyporales	541	3	484	125	41	280	458	178	55	56
Fungi;Basidiomycota;Agaricomycetes;Russulales	64311	0	33346	61136	18645	38486	25124	36493	62702	28844
Fungi;Basidiomycota;Agaricomycetes;Sebacinales	385	0	1162	152	8	4364	0	0	102	725
Fungi;Basidiomycota;Agaricomycetes;Thelephorales	6272	0	322	705	1796	440	2405	498	517	363
Fungi;Basidiomycota;Agaricomycetes;Trechisporales	40	0	49	82	66	54	134	100	36	247
Fungi;Basidiomycota;Agaricomycetes;unidentified	0	0	0	0	0	2	471	9	0	0
Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales	0	0	0	14	0	0	0	0	0	0
Fungi;Basidiomycota;GS26;GS26	0	0	0	0	0	0	0	0	38	0
Fungi;Basidiomycota;Geminibasidiomycetes;Geminibasidiales	0	0	0	228	1183	192	0	0	2742	3908
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales	0	0	0	0	3	0	0	0	11	0
Fungi;Basidiomycota;Microbotryomycetes;?	9	0	42	6	33	111	16	6	0	0
Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales	228	0	498	83	1794	1580	244	101	287	2600
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales	47	0	8	434	3546	10	3	160	535	789
Fungi;Basidiomycota;Microbotryomycetes;unidentified	6	0	2	5	13	0	0	0	0	14
Fungi;Basidiomycota;Tremellomycetes;?	86	0	452	275	207	16	62	0	320	61
Fungi;Basidiomycota;Tremellomycetes;Tremellales	937	0	0	204	0	28	17	0	32	0
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales	55	0	78	0	25	247	226	47	5757	72
Fungi;Basidiomycota;unidentified;unidentified	0	0	0	0	39	0	0	0	0	0
Fungi;Calcarisporiellomycota;?;?	1	0	0	1	0	0	4	0	0	0
Fungi;Calcarisporiellomycota;Calcarisporiellomycetes;Calcarisporiellales	64	0	21	3	23	19	6	1	33	4
Fungi;Chytridiomycota;?;?	1095	0	32	0	1	83	99	25	57	24
Fungi;Chytridiomycota;Chytridiomycetes;?	0	0	0	2	0	47	490	0	0	0
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales	122	0	116	142	57	280	1555	25	47	13
Fungi;Chytridiomycota;Chytridiomycetes;unidentified	0	0	0	0	0	0	0	15	0	0
Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales	20	0	0	0	0	11	258	1	0	29
