Species	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Rhinocladiella;?	0	0	0	0	0	14	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;unidentified;?	0	0	193	38	0	176	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;unidentified;unidentified	0	0	102	65	37	30	0	0	0	93
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;unidentified;?;?	0	0	0	7	11	90	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;unidentified;unidentified;?	2	0	338	0	0	256	51	0	0	23
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;unidentified;unidentified;unidentified	39	0	142	72	7	51	7	8	470	1
Fungi;Ascomycota;Eurotiomycetes;Coryneliales;Coryneliaceae;Corynelia;Corynelia_uberata	0	0	14	0	0	0	13	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;?;?;?	0	0	0	119	118	0	0	0	0	914
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;?;?	10	0	0	7	9	22	0	299	17	3
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;unidentified	233	0	107	0	72	1380	1089	56	95	11
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;?	93	0	46	25	31	642	9	3	58	62
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium_christenseniae	5	0	2	0	0	12	0	0	0	1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium_verhagenii	14	0	43	24	23	45	9	0	59	53
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;unidentified	56	0	13	89	88	11	41	27	37	47
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;?;?	33	0	0	0	0	0	395	30	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Elaphomyces;?	8	0	0	70	23	0	418	195	65	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Elaphomyces;Elaphomyces_cyanosporus	0	0	0	1300	3378	6	0	0	36	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Elaphomyces;Elaphomyces_leucosporus	41	0	0	0	0	0	38	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Elaphomyces;unidentified	1958	0	376	355	68	401	413	2501	1154	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;?;?	0	0	35	56	20	0	1	0	6	73
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Sagenomella;?	0	0	4	32	427	0	0	0	1939	286
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;?	207	0	5	206	136	19	123	37	159	444
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;unidentified;unidentified;unidentified	578	0	40	0	67	103	243	20	53	384
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Arachnotheca;Arachnotheca_glomerata	2	0	0	0	0	0	3	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Sclerococcales;Sclerococcales_fam_Incertae_sedis;Fusichalara;?	5	0	14	0	0	4	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;?;?;?;?	0	0	210	0	0	173	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Branch07;?;?;?	0	0	0	0	0	75	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypotrachyna;?	0	0	0	0	0	0	0	0	22	0
Fungi;Ascomycota;Lecanoromycetes;Ostropales;?;?;?	0	0	21	0	0	45	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Ostropales;Stictidaceae;?;?	0	0	0	0	0	320	0	0	21	0
Fungi;Ascomycota;Lecanoromycetes;Ostropales;Stictidaceae;Cryptodiscus;?	0	0	110	0	0	21	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Pertusariales;?;?;?	0	0	0	0	0	0	0	0	0	32
Fungi;Ascomycota;Leotiomycetes;?;?;?;?	627	12	1712	787	310	2212	395	239	71	1516
Fungi;Ascomycota;Leotiomycetes;Helotiales;?;?;?	2951	1	6421	2143	3107	11931	938	884	3123	2453
