Family	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis	82	0	604	597	17	55	18	108	8	257
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae	159	0	293	52	42	163	81	126	39	8
Fungi;Ascomycota;Leotiomycetes;Helotiales;Leotiaceae	8	0	0	0	0	0	1	38	0	143
Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae	83	0	4740	2645	3580	1071	147	1111	10009	6863
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae	8	0	7	0	6	4	0	0	24	18
Fungi;Ascomycota;Leotiomycetes;Helotiales;Vibrisseaceae	0	0	10	0	0	54	10	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;unidentified	1043	0	3068	1899	1590	3360	458	40	746	905
Fungi;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae	57	0	2	13	0	80	4	0	3	16
Fungi;Ascomycota;Orbiliomycetes;?;?	8	0	0	0	0	40	1	140	0	20
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;?	0	0	0	225	0	0	0	0	0	0
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae	0	0	0	23	0	0	0	602	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;?	5	0	2	0	0	11	4	0	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Ascobolaceae	0	0	1	0	3	47	0	0	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Discinaceae	3	0	0	0	0	0	0	3	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae	0	0	477	0	0	18	0	0	5	5
Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae	33	0	5	99	0	1	0	0	0	166
Fungi;Ascomycota;Saccharomycetes;?;?	10346	0	2602	2010	2250	4316	1468	1403	344	4643
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;?	461	0	0	0	0	47	689	67	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae	5	0	0	13	0	0	24	0	0	16
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis	0	0	26	0	0	13	2	108	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae	15	0	9	2	3	19	9	10	4	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;unidentified	1303	0	825	551	651	976	209	1287	1318	3407
Fungi;Ascomycota;Sordariomycetes;?;?	276	0	103	400	698	214	243	161	697	113
Fungi;Ascomycota;Sordariomycetes;Boliniales;Boliniaceae	27	0	31	26	20	82	35	23	4	38
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae	953	0	856	3139	2165	1711	868	660	445	3066
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;unidentified	12	0	50	42	20	216	16	0	209	9
Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae	17	0	56	0	0	15	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Coniochaetales;unidentified	4	0	0	13	6	0	6	0	184	0
Fungi;Ascomycota;Sordariomycetes;Diaporthales;?	15	0	0	0	1	22	2	24	2	0
Fungi;Ascomycota;Sordariomycetes;Diaporthales;Schizoparmaceae	3	0	0	0	0	0	0	0	4	0
Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae	45	0	4	12	24	9	5	3	59	5
Fungi;Ascomycota;Sordariomycetes;Hypocreales;?	299	0	19	35	31	218	146	38	199	19
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae	357	1	338	151	0	316	46	432	16	91
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae	204	0	231	169	126	254	1944	87	157	812
