OTU	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
OTU.ITSx.100	1	0	0	0	0	27	3	0	0	7
OTU.ITSx.101	0	0	9	0	0	25	3	0	0	0
OTU.ITSx.102	0	0	0	0	0	0	0	0	0	37
OTU.ITSx.103	0	0	0	0	0	36	0	0	0	0
OTU.ITSx.104	0	0	0	0	0	0	0	35	0	0
OTU.ITSx.105	5	0	0	0	3	1	24	0	0	0
OTU.ITSx.106	0	0	11	0	15	7	0	0	0	0
OTU.ITSx.107	0	0	0	6	11	0	0	0	0	16
OTU.ITSx.108	0	0	0	0	10	23	0	0	0	0
OTU.ITSx.109	24	0	4	0	2	1	1	1	0	0
OTU.ITSx.110	32	0	0	0	0	0	0	0	0	0
OTU.ITSx.111	0	0	0	0	5	18	0	0	9	0
OTU.ITSx.112	0	0	0	0	0	0	32	0	0	0
OTU.ITSx.113	0	0	0	14	6	0	0	7	0	5
OTU.ITSx.114	0	0	0	0	0	0	0	0	31	0
OTU.ITSx.115	0	0	0	1	30	0	0	0	0	0
OTU.ITSx.116	0	0	22	0	0	9	0	0	0	0
OTU.ITSx.117	0	0	2	0	0	0	2	0	0	27
OTU.ITSx.118	0	0	0	0	2	0	0	0	0	29
OTU.ITSx.119	15	0	0	0	0	0	15	0	0	0
OTU.ITSx.120	0	0	0	0	30	0	0	0	0	0
OTU.ITSx.121	0	0	0	0	2	0	0	0	6	22
OTU.ITSx.122	0	0	0	5	4	0	0	0	7	14
OTU.ITSx.123	1	0	29	0	0	0	0	0	0	0
OTU.ITSx.124	0	0	10	0	0	17	2	0	0	0
OTU.ITSx.125	24	0	0	0	0	0	5	0	0	0
OTU.ITSx.126	0	0	0	3	7	0	0	0	13	5
OTU.ITSx.127	0	0	0	28	0	0	0	0	0	0
OTU.ITSx.128	0	0	0	28	0	0	0	0	0	0
OTU.ITSx.129	2	0	0	0	11	0	0	0	9	6
OTU.ITSx.130	1	0	23	0	0	4	0	0	0	0
OTU.ITSx.131	5	0	0	0	0	0	5	17	0	0
OTU.ITSx.132	7	0	0	0	0	0	20	0	0	0
OTU.ITSx.133	0	0	0	0	9	0	0	0	16	1
OTU.ITSx.134	26	0	0	0	0	0	0	0	0	0
OTU.ITSx.135	19	0	0	0	1	0	1	0	5	0
OTU.ITSx.136	0	0	1	0	0	0	0	25	0	0
OTU.ITSx.137	0	0	22	4	0	0	0	0	0	0
OTU.ITSx.138	0	0	0	0	20	3	2	0	0	0
OTU.ITSx.139	25	0	0	0	0	0	0	0	0	0
OTU.ITSx.140	0	0	2	1	5	5	0	0	0	12
OTU.ITSx.141	6	0	3	0	3	6	6	0	1	0
OTU.ITSx.142	11	0	0	0	6	0	8	0	0	0
OTU.ITSx.143	0	0	0	0	0	0	0	0	1	24
OTU.ITSx.144	0	0	0	0	0	0	0	24	0	0
OTU.ITSx.145	7	0	8	0	0	6	2	0	0	1
OTU.ITSx.146	3	0	0	0	0	6	15	0	0	0
OTU.ITSx.147	21	0	0	0	0	0	3	0	0	0
OTU.ITSx.148	0	0	7	0	0	13	0	0	4	0
OTU.ITSx.149	11	0	0	0	0	0	7	0	0	6
OTU.ITSx.150	0	0	0	0	0	0	0	23	0	0
OTU.ITSx.151	2	0	0	0	0	0	21	0	0	0
OTU.ITSx.152	0	0	0	0	0	0	0	23	0	0
OTU.ITSx.153	21	0	0	0	0	0	2	0	0	0
OTU.ITSx.154	23	0	0	0	0	0	0	0	0	0
OTU.ITSx.155	0	0	4	4	0	0	0	0	1	14
OTU.ITSx.156	0	0	0	13	6	0	0	0	3	0
OTU.ITSx.157	0	0	0	0	22	0	0	0	0	0
OTU.ITSx.158	4	0	0	0	0	0	18	0	0	0
OTU.ITSx.159	0	0	0	0	0	0	11	11	0	0
OTU.ITSx.160	0	0	22	0	0	0	0	0	0	0
OTU.ITSx.161	22	0	0	0	0	0	0	0	0	0
OTU.ITSx.162	0	0	4	1	3	0	0	0	8	6
OTU.ITSx.163	0	0	0	0	0	20	0	0	0	0
OTU.ITSx.164	0	0	20	0	0	0	0	0	0	0
OTU.ITSx.165	18	0	0	0	0	0	2	0	0	0
OTU.ITSx.166	6	0	0	2	2	0	0	0	10	0
OTU.ITSx.167	10	0	1	3	0	0	2	4	0	0
OTU.ITSx.168	0	0	0	20	0	0	0	0	0	0
OTU.ITSx.169	0	0	7	1	0	10	0	0	1	0
OTU.ITSx.170	0	0	0	0	0	0	0	0	19	0
OTU.ITSx.171	0	0	0	0	0	19	0	0	0	0
OTU.ITSx.172	5	0	6	0	0	8	0	0	0	0
OTU.ITSx.173	4	0	0	0	0	0	9	0	5	0
OTU.ITSx.174	0	0	0	13	5	0	0	0	0	0
OTU.ITSx.175	1	0	14	0	3	0	0	0	0	0
OTU.ITSx.176	0	0	8	0	3	6	0	0	0	1
OTU.ITSx.177	0	0	0	0	0	0	0	0	0	18
